,city,street,district,Reference and listing Date,contract,type,surface,rooms,floor,total building floors,Car parking,availability,other features,price (k€),condominium fees,deposit,year of construction,condition,heating,Air conditioner,Energy Efficiency
819,Milan,Via Caianello,Dergano,29979 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,25,1,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetSingle tv systemFurnishedShared gardenWindow frames in double glass / PVC,620.0,No condominium fees,Not indicated,,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",A≥ 175 kWh/m² year
898,Milan,Via Marco DAgrate 15/B,Corvetto,MARC15 - 03/05/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,30,1,5,6 floors,,Available,Security doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / metal,650.0,€ 200/month,"€ 1,950",1960,Excellent / Refurbished,"Central, with radiators, powered by methane",,G175 kWh/m² year
705,Milan,Via Ebro,Ripamonti,EK-106424197 - 10/05/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,35,1,3,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,650.0,€ 50/month,"€ 1,950",1975,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
1264,Milan,"Via Mecenate, 4, 20138 Milano MI, Italia",Viale Ungheria - Mecenate,FIMM_00074055 - 02/17/2024,Rent,Apartment | Full ownership | Medium property class,30,1,2,4 floors,,Available,Optic fiberSecurity doorInternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / wood,650.0,€ 150/month,"€ 1,950",1960,Good condition / Liveable,"Central, with radiators, powered by methane",,F≥ 175 kWh/m² year
344,Milan,Via Serio,Ripamonti,Via Serio monolocale in affitto - 02/16/2024,"Rent, open",Apartment | Full ownership | Medium property class,25,1,3,5 floors,,,Electric gateSecurity doorInternal exposureCentralized TV systemFurnishedWindow frames in double glass / metal,650.0,€ 200/month,Not indicated,1900,Good condition / Liveable,"Independent, air heating, power supply","Independent, cold/hot",D145.64 kWh/m² year
1990,Milan,Via Giambellino,Giambellino,60857895 - 02/05/2024,Rent,Apartment | Partial ownership | Medium property class,20,3,4,5 floors,,Available,BalconyFull day conciergeFurnishedShared garden,650.0,,Not indicated,1950,Excellent / Refurbished,"Central, with radiators, powered by methane",,E175 kWh/m² year
508,Milan,Via Andrea del Castagno,Bologna - Sulmona,EK-104736041 - 10/04/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,70,2,3,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,680.0,€ 120/month,"€ 2,040",1965,Good condition / Liveable,"Central, with radiators, gas powered",,G≥ 175 kWh/m² year
1535,Milan,Ripa di Porta Ticinese,Navigli - Darsena,EK-107911489 - 02/23/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,35,1,3,8 floors,,Available from 15/03/2024,Optic fiberSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / metal,700.0,€ 150/month,"€ 2,550",1960,Excellent / Refurbished,"Central, floor heating, powered by methane",,G273.98 kWh/m² year
703,Milan,Via Monfalcone,Udine,EK-107915833 - 01/31/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,55,2,3,6 floors,,Available,Electric gateOptic fiberVideo entryphoneClosetBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,700.0,€ 100/month,"€ 2,100",1965,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
1174,Milan,Via Giuseppe Ripamonti,Ripamonti,A2 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,40,1,5,5 floors,,Available,Electric gateOptic fiberSecurity doorExternal exposureClosetCentralized TV systemWindow frames in double glass / wood,700.0,€ 150/month,"€ 2,100",1930,Good condition / Liveable,"Independent, with radiators, gas powered","Independent, cold/hot",E100 kWh/m² year
1544,Milan,Via Galeazzo Alessi,Corso Genova,MONOLOCALE DARSENA - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,17,1,4,5 floors,,Available from 04/03/2024,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureCentralized TV systemFurnishedWindow frames in double glass / PVC,700.0,€ 100/month,"€ 2,100",1900,Excellent / Refurbished,"Independent, air heating, powered by heat pump","Independent, cold/hot",E≥ 175 kWh/m² year
702,Milan,Via Jean Jaurès,Turro,EK-104353995 - 12/05/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,4,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,700.0,€ 80/month,"€ 2,100",1950,Good condition / Liveable,"Independent, with radiators, gas powered",,G≥ 175 kWh/m² year
700,Milan,Viale Giovanni Suzzani,Bicocca,EK-104445943 - 12/29/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,2,5 floors,,Available,Optic fiberSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,700.0,No condominium fees,"€ 2,100",1950,Good condition / Liveable,"Independent, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
486,Milan,Via Ebro,Ripamonti,25321 - 03/06/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,30,1,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetBalconySingle tv systemFurnishedWindow frames in double glass / PVC,700.0,No condominium fees,Not indicated,,Excellent / Refurbished,"Central, with radiators, powered by methane","Central, cold/hot",A≥ 175 kWh/m² year
1816,Milan,Via Melchiorre Gioia,Maggiolina,34137 - 03/06/2024,"Rent, open",Apartment | Medium property class,50,1,4,5 floors,1 in garage/box,Available,Security doorTerraceFull day conciergeFurnishedPrivate garden,700.0,€ 250/month,Not indicated,1950,Excellent / Refurbished,"Independent, floor heating",,E
809,Milan,"Via Casoretto, 12",Casoretto,Cod. rif 3133419 - 03/06/2024,"Rent, transitory",Apartment | Full ownership,55,2,4,4 floors,,Available from 01/04/2024,BalconyFurnished,700.0,€ 300/month,Not indicated,1940,Good condition / Liveable,Central,,G199 kWh/m² year
36,Milan,Via Giovanni Battista Sammartini,Centrale,95 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,59,2,9,9 floors,,Available,Optic fiberSecurity doorBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,700.0,€ 300/month,Not indicated,1950,Good condition / Liveable,"Central, with radiators, powered by methane",,E≥ 175 kWh/m² year
639,Milan,Piazza Pietro Frattini,Tripoli - Soderini,7631 - 03/06/2024,"Rent, open",Apartment | Full ownership | Medium property class,40,1,1,5 floors,1 in shared parking,Available,Optic fiberVideo entryphoneSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,720.0,,Not indicated,,Excellent / Refurbished,"Independent, air heating, gas powered","Independent, cold/hot",A≥ 175 kWh/m² year
675,Milan,Via Curio Dentato,Giambellino,7631 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,40,1,1,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,720.0,No condominium fees,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold/hot",B≥ 175 kWh/m² year
591,Milan,Viale Vincenzo Lancetti,Farini,EK-109397427 - 02/13/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,28,1,1,5 floors,,Available,Security doorInternal exposureCentralized TV systemFurnishedWindow frames in double glass / PVC,720.0,€ 180/month,Not indicated,1930,Excellent / Refurbished,"Independent, air heating, powered by heat pump","Independent, cold/hot",G39.74 kWh/m² year
1453,Milan,Via Giuseppe Tartini,Dergano,EK-109836485 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,30,1,4,6 floors,,,Security doorInternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,730.0,€ 100/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",E296 kWh/m² year
1255,Milan,Via Popoli Uniti,Rovereto,AR-1097RA48307 - 06/14/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,55,1,1,4 floors,,Available,Electric gateSecurity doorInternal exposureSingle tv systemFurnishedCellarShared gardenWindow frames in double glass / wood,730.0,€ 60/month,"€ 2,190",2006,Good condition / Liveable,"Independent, with radiators, gas powered",,G281.46 kWh/m² year
1748,Milan,Via Sidney Costantino Sonnino,Certosa,SONNINO - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,35,2,0,2 floors,,Available,Optic fiberSecurity doorInternal exposureCentralized TV systemFurnishedWindow frames in double glass / metal,750.0,€ 80/month,Not indicated,2008,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",G220.54 kWh/m² year
1084,Milan,Piazza della Trivulziana,Bicocca,Mono Triv1 3 40 - 02/24/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,40,1,3,10 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / metal,750.0,€ 150/month,"€ 2,250",2007,Excellent / Refurbished,"Independent, with radiators, powered by district heating","Central, cold",D99.84 kWh/m² year
507,Milan,Via Valparaiso,Solari,EK-106831547 - 12/29/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,4,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,750.0,€ 50/month,"€ 1,500",1975,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
893,Milan,Via San Faustino 3,Ortica,FAUSTI_3 - 03/05/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,50,2,3,5 floors,,Available,Electric gateSecurity doorClosetSingle tv systemFurnishedWindow frames in double glass / metalDouble exposure,750.0,€ 250/month,"€ 1,500",1929,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold",E175 kWh/m² year
857,Milan,Viale Lucania 3,Corvetto,LUC3 - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,28,1,4,8 floors,,Available,Optic fiberSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,750.0,€ 100/month,"€ 2,250",1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",F182.38 kWh/m² year
1759,Milan,Via Varesina,Certosa,33720 - 03/06/2024,"Rent, open",Apartment | Medium property class,40,2,3,4 floors,1 in garage/box,Available,Security doorTerraceFull day conciergeFurnishedPrivate garden,750.0,€ 150/month,Not indicated,1950,Excellent / Refurbished,"Independent, floor heating",,E
723,Milan,piazza della Repubblica 6,Porta Nuova,P Repubblica - 03/05/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,22,1,1,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureClosetFull day conciergeCentralized TV systemFurnishedWindow frames in glass / wood,750.0,€ 100/month,"€ 2,250",1950,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",G264.03 kWh/m² year
671,Milan,Via del Turchino,Molise - Cuoco,12690 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,35,1,4,6 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetBalconySingle tv systemFurnishedShared gardenWindow frames in glass / PVC,750.0,,Not indicated,,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",A≥ 175 kWh/m² year
430,Milan,Via Aristotele,Gorla,Aristotele 37mq - 02/15/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,37,1,1,2 floors,,Available,Electric gateSecurity doorInternal exposureCentralized TV systemFurnishedShared gardenWindow frames in glass / wood,750.0,€ 100/month,Not indicated,1950,Excellent / Refurbished,"Central, with radiators, gas powered",,G209.79 kWh/m² year
630,Milan,Via Bezzecca,Cadore,17561 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,35,1,3,5 floors,"1 in garage/box, 2 in shared parking",Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyFull day conciergeSingle tv systemFurnishedShared gardenWindow frames in double glass / PVC,750.0,No condominium fees,Not indicated,,Excellent / Refurbished,"Independent, air heating, gas powered","Independent, cold/hot",A≥ 175 kWh/m² year
641,Milan,Piazza Greco,Greco - Segnano,31543 - 03/06/2024,"Rent, open",Apartment | Full ownership | Medium property class,45,2,2,5 floors,2 in shared parking,,Optic fiberSecurity doorClosetBalconyTerraceHalf-day conciergeSingle tv systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,750.0,,Not indicated,,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",A≥ 175 kWh/m² year
1812,Milan,Viale Carlo Espinasse,Certosa,25230 - 03/06/2024,"Rent, open",Apartment | Medium property class,55,2,2,3 floors,1 in garage/box,Available,Security doorTerraceFull day conciergeFurnishedPrivate garden,750.0,€ 200/month,Not indicated,1950,Excellent / Refurbished,"Independent, floor heating",,E
1202,Milan,Via Giuseppe Ripamonti,Vigentino - Fatima,60851816 - 02/15/2024,Rent,Apartment | Full ownership | Medium property class,30,1,5,8 floors,,,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,750.0,€ 200/month,Not indicated,1967,Good condition / Liveable,"Central, with radiators, powered by methane",Independent,F128.42 kWh/m² year
1344,Milan,Via Negroli,Argonne - Corsica,Ampio Monolocale con cucina abitabile - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,40,1,5,7 floors,,Available from 01/04/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,750.0,€ 150/month,"€ 2,250",1960,Good condition / Liveable,"Central, with radiators, powered by methane",,F160 kWh/m² year
805,Milan,Via Raffaele Lambruschini,Bovisa,27260 - 03/06/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,30,1,1,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetSingle tv systemFurnishedShared gardenWindow frames in double glass / PVC,750.0,No condominium fees,Not indicated,,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",A+≥ 175 kWh/m² year
164,Milan,Via Bezzecca,Cadore,17561 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,35,1,3,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,750.0,No condominium fees,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold/hot",B≥ 175 kWh/m² year
1540,Milan,Via Lomellina,Argonne - Corsica,LOM14 - 02/21/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,30,1,4,5 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureClosetCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,775.0,€ 75/month,"€ 2,325",1900,Good condition / Liveable,"Independent, with radiators, powered by heat pump","Independent, cold/hot",C120.93 kWh/m² year
1840,Milan,Via Lecco,Buenos Aires,EK-101718069 - 03/05/2024,"Rent, transitory",Apartment | Full ownership,33,1,3,5 floors,,Available,Optic fiberSecurity doorCentralized TV systemFurnishedWindow frames in glass / metal,780.0,€ 220/month,"€ 1,000",,Good condition / Liveable,"Independent, air heating",,G≥ 175 kWh/m² year
701,Milan,Via delle Tuberose,Bande Nere,EK-103788788 - 12/05/2023,"Rent, transitory",Apartment | Full ownership | Medium property class,75,3,2,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,780.0,€ 120/month,"€ 2,340",1955,Good condition / Liveable,"Independent, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
1362,Milan,Viale Carlo Espinasse,Certosa,48145 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,30,1,0,4 floors,,Available,Security doorCentralized TV systemFurnishedShared gardenWindow frames in double glass / wood,780.0,€ 20/month,Not indicated,1920,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",F175 kWh/m² year
821,Milan,Piazza Firenze,Portello - Parco Vittoria,Monolocale ad.ze P.zza Firenze - 02/29/2024,"Rent, transitory",Apartment | Full ownership,30,1,2,3 floors,,Available from 01/05/2024,Optic fiberVideo entryphoneSecurity doorInternal exposureClosetCentralized TV systemFurnishedWindow frames in double glass / metal,780.0,,Not indicated,1930,Excellent / Refurbished,"Independent, air heating, powered by heat pump","Independent, cold/hot",F≥ 175 kWh/m² year
1900,Milan,Viale Sarca,Prato Centenaro,60851837 - 02/12/2024,"Rent, 4+4",Apartment | Full ownership,75,2,3,6 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemCellarShared gardenWindow frames in double glass / PVC,780.0,€ 220/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane",,G166.58 kWh/m² year
175,Milan,via CADOLINI,Lodi - Brenta,AFF24SEB015 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,35,1,3,4 floors,,Available,Optic fiberSecurity doorExternal exposureBalconyCentralized TV systemFurnishedWindow frames in double glass / PVC,790.0,€ 100/month,Not indicated,1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",G175 kWh/m² year
883,Milan,viale Lombardia 64,Casoretto,202AARX - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,28,1,5,5 floors,,Available,Security doorExternal exposureCentralized TV systemPartially furnishedWindow frames in double glass / PVC,800.0,€ 90/month,"€ 2,400",1940,Excellent / Refurbished,"Independent, air heating, power supply","Independent, cold",E186.19 kWh/m² year
1844,Milan,Via Giancarlo Sismondi,Argonne - Corsica,SISMO50MONO - 02/21/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,30,1,3,5 floors,,Available,Optic fiberSecurity doorExternal exposureClosetBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,800.0,€ 100/month,"€ 2,400",1950,Excellent / Refurbished,"Central, with radiators, powered by methane",,
1835,Milan,Via Picco Madre Anna Eugenia,Cimiano,CB1065 -(737003) - 02/22/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,40,2,1,8 floors,,Available,BalconySingle tv systemFurnishedCellar,800.0,€ 150/month,Not indicated,1960,Good condition / Liveable,Central,,G
1715,Milan,Viale Corsica,Porta Vittoria,A003 - 03/04/2024,"Rent, open",Apartment | Full ownership | Stately property class,35,1,1,5 floors,,Available,Electric gateOptic fiberExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,800.0,€ 150/month,"€ 2,400",1938,Excellent / Refurbished,"Central, with radiators, powered by methane",,G≥ 175 kWh/m² year
1480,Milan,Via Pietro Gassendi,Certosa,GASSENDI MONO 2024 - 03/04/2024,"Rent, open",Apartment | Full ownership | Stately property class,30,1,1,6 floors,,,Electric gateOptic fiberSecurity doorExternal exposureClosetBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,800.0,€ 150/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane",System predisposition,F279.65 kWh/m² year
929,Milan,Via Luigi Vanvitelli 10,Città Studi,VAN_10 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,37,1,1,6 floors,,Available,Optic fiberSecurity doorInternal exposureClosetBalconyFull day conciergeCentralized TV systemPartially furnishedWindow frames in double glass / PVC,800.0,€ 100/month,"€ 2,400",1950,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",G155.69 kWh/m² year
1479,Milan,Via Giovanni Pierluigi da Palestrina,Centrale,20121 - 03/06/2024,"Rent, open",Apartment | Medium property class,40,2,0,1 floor,1 in garage/box,Available,Security doorTerraceFull day conciergeFurnishedPrivate garden,800.0,€ 250/month,Not indicated,1950,Excellent / Refurbished,"Independent, floor heating",,E
1213,Milan,Via Lattanzio,Martini - Insubria,LATTANZIO - 03/04/2024,"Rent, 3+2",Apartment | Full ownership | Stately property class,30,1,0,4 floors,,Available,External exposureCentralized TV systemFurnishedWindow frames in double glass / PVC,800.0,€ 150/month,Not indicated,1900,Excellent / Refurbished,"Independent, air heating, power supply","Independent, cold/hot",G≥ 175 kWh/m² year
171,Milan,Viale Certosa,Ghisolfa - Mac Mahon,20941 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,23,1,3,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,800.0,No condominium fees,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold/hot",B≥ 175 kWh/m² year
774,Milan,Via Osteno,San Carlo,30388 - 03/06/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,65,2,3,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetBalconySingle tv systemFurnishedWindow frames in double glass / PVC,800.0,No condominium fees,Not indicated,,Excellent / Refurbished,"Central, with radiators, powered by methane","Central, cold/hot",A≥ 175 kWh/m² year
1808,Milan,Viale Toscana,Bocconi,Mono toscana - 02/20/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,40,1,6,6 floors,,Available,Electric gateOptic fiberSecurity doorInternal exposureClosetHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,800.0,€ 100/month,"€ 1,500",1930,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",G276.79 kWh/m² year
1101,Milan,Via Vigilio Inama,Città Studi,19-133 - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,50,1,5,5 floors,,Available,Electric gateSecurity doorExternal exposureBalconyCentralized TV systemFurnishedWindow frames in double glass / wood,800.0,€ 250/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane",,"G≥ 3,51 kWh/m² year"
578,Milan,via rasori 14,Vercelli - Wagner,A Rasori 14 (Virgilio 1/2) - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,30,1,3,5 floors,,Available,Electric gateOptic fiberVideo entryphoneExternal exposureClosetCentralized TV systemFurnishedWindow frames in glass / wood,800.0,€ 150/month,€ 800,1950,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold",G264.03 kWh/m² year
